year,iso_code,country,economic_freedom,rank,quartile,gdp_growth
2013,CHE,Switzerland,8.22,4.0,1.0,"1,927739643"
2013,SYR,Syria,4.07,156.0,4.0,
2013,TJK,Tajikistan,6.55,104.0,3.0,"7,4"
2013,TZA,Tanzania,6.85,84.0,3.0,"6,960750458"
2013,THA,Thailand,6.61,100.0,3.0,"1,766353603"
2013,TLS,Timor-Leste,6.64,95.0,3.0,"8,11287478"
2013,TGO,Togo,6.25,122.0,4.0,"5,117622456"
2013,TTO,Trinidad & Tob.,6.77,86.0,3.0,"1,600062968"
2013,TUN,Tunisia,6.35,119.0,4.0,"2,808661102"
2013,TUR,Turkey,6.86,83.0,3.0,"4,04968709"
2013,UGA,Uganda,7.38,39.0,1.0,"5,794272907"
2013,UKR,Ukraine,6.05,127.0,4.0,"1,876313135"
2013,ARE,Unit. Arab Em.,7.68,18.0,1.0,
2013,GBR,United Kingdom,7.96,8.0,1.0,"1,743508313"
2013,USA,United States,7.74,12.0,1.0,"1,876450322"
2013,URY,Uruguay,7.26,55.0,2.0,"4,396597"
2013,VEN,Venezuela,3.32,157.0,4.0,"1,343451286"
2013,VNM,Vietnam,6.37,113.0,3.0,"5,422048775"
2013,YEM,"Yemen, Rep.",6.33,120.0,4.0,"4,155705526"
2013,ZMB,Zambia,6.95,78.0,2.0,"6,35241756"
2013,ZWE,Zimbabwe,5.3,147.0,4.0,"1,808229398"
2012,ALB,Albania,7.2,59.0,2.0,"1,299987206"
2012,DZA,Algeria,4.95,149.0,4.0,"3,299991384"
2012,AGO,Angola,5.28,141.0,4.0,"5,188654135"
2012,ARG,Argentina,5.04,146.0,4.0,"0,946197111"
2012,ARM,Armenia,7.75,13.0,1.0,"7,2"
2012,AUS,Australia,7.96,8.0,1.0,"3,614841733"
2012,AUT,Austria,7.62,21.0,1.0,"0,870499679"
2012,AZE,Azerbaijan,6.32,113.0,3.0,"2,2"
2012,BHS,Bahamas,7.31,50.0,2.0,"1,832171744"
2012,BHR,Bahrain,7.33,46.0,2.0,"3,399557843"
2012,BGD,Bangladesh,6.24,116.0,4.0,"6,233705051"
2012,BLR,Belarus,,,,"1,731391223"
2012,BEL,Belgium,7.35,42.0,2.0,"-0,143801895"
2012,BLZ,Belize,7.13,64.0,2.0,"4,017501989"
2012,BEN,Benin,5.74,134.0,4.0,"5,399973877"
2012,BTN,Bhutan,,,,"4,620016905"
2012,BOL,Bolivia,6.38,110.0,3.0,"5,176430946"
2012,BIH,Bosnia and Herzegovina,6.79,85.0,3.0,"-0,700000037"
2012,BWA,Botswana,7.25,55.0,2.0,"4,256806574"
2012,BRA,Brazil,6.24,116.0,4.0,"1,031803648"
2012,BRN,Brunei Darussalam,7.07,67.0,2.0,"0,948354662"
2012,BGR,Bulgaria,7.37,39.0,2.0,"0,601010623"
2012,BFA,Burkina Faso,5.81,133.0,4.0,"9,537420114"
2012,BDI,Burundi,5.22,143.0,4.0,"4,019365532"
2012,KHM,Cambodia,6.92,77.0,3.0,"7,313345505"
2012,CMR,Cameroon,6.05,126.0,4.0,"4,6"
2012,CAN,Canada,7.99,6.0,1.0,"1,709005656"
2012,CPV,Cape Verde,6.56,101.0,3.0,"1,236262722"
2012,CAF,Central Afr. Rep.,4.93,150.0,4.0,"4,099973792"
2012,TCD,Chad,4.72,151.0,4.0,"8,88257607"
2012,CHL,Chile,7.81,11.0,1.0,"5,381756367"
2012,CHN,China,6.37,111.0,3.0,"7,652553"
2012,COL,Colombia,6.72,89.0,3.0,"4,049025803"
2012,COD,"Congo, Dem. R.",5.2,144.0,4.0,"7,157864399"
2012,COG,"Congo, Rep. Of",4.39,152.0,4.0,"3,799995852"
2012,CRI,Costa Rica,7.53,28.0,1.0,"5,133850711"
2012,CIV,Cote d'Ivoire,5.64,136.0,4.0,"9,496"
2012,HRV,Croatia,6.93,75.0,2.0,"-1,869716434"
2012,CYP,Cyprus,7.47,32.0,1.0,"-2,4"
2012,CZE,Czech Rep.,7.42,36.0,1.0,"-1,021119255"
2012,DNK,Denmark,7.56,24.0,1.0,"-0,358728262"
2012,DOM,Dominican Rep.,7.03,69.0,2.0,"3,887682601"
2012,ECU,Ecuador,6.03,127.0,4.0,"5,123267676"
2012,EGY,Egypt,6.14,124.0,4.0,"2,213028907"
2012,SLV,El Salvador,7.09,65.0,2.0,"1,880955461"
2012,EST,Estonia,7.68,17.0,1.0,"3,938907138"
2012,ETH,Ethiopia,5.58,137.0,4.0,"8,725312908"
2012,FJI,Fiji,6.84,82.0,3.0,"2,202128024"
2012,FIN,Finland,7.81,11.0,1.0,"-1,008067014"
2012,FRA,France,7.27,53.0,2.0,"0,013879298"
2012,GAB,Gabon,5.37,139.0,4.0,"5,6"
2012,GMB,"Gambia, The",6.87,80.0,3.0,"6,054830327"
2012,GEO,Georgia,7.75,13.0,1.0,"6,18001001"
2012,DEU,Germany,7.64,19.0,1.0,"0,68865531"
2012,GHA,Ghana,6.44,105.0,3.0,"8,789806177"
2012,GRC,Greece,6.67,92.0,3.0,"-6,972650052"
2012,GTM,Guatemala,7.41,37.0,1.0,"2,969832897"
2012,GIN,Guinea,,,,"3,944111989"
2012,GNB,Guinea-Bissau,5.96,130.0,4.0,"-1,45"
2012,GUY,Guyana,6.3,114.0,3.0,"4,816458917"
2012,HTI,Haiti,6.0,128.0,4.0,"2,885096051"
2012,HND,Honduras,7.16,61.0,2.0,"3,863139114"
2012,HKG,Hong Kong,8.96,1.0,1.0,"1,548604959"
2012,HUN,Hungary,7.33,46.0,2.0,"-1,664505277"
2012,ISL,Iceland,6.94,74.0,2.0,"1,462959356"
2012,IND,India,6.54,103.0,3.0,"4,736279635"
2012,IDN,Indonesia,6.84,82.0,3.0,"6,26367051"
2012,IRN,Iran,4.96,148.0,4.0,"2,999999969"
2012,IRQ,Iraq,,,,"9,15632793"
2012,IRL,Ireland,7.98,7.0,1.0,"0,157032326"
2012,ISR,Israel,7.36,40.0,2.0,"3,351850004"
2012,ITA,Italy,7.22,58.0,2.0,"-2,367681123"
2012,JAM,Jamaica,7.14,62.0,2.0,"0,724298566"
2012,JPN,Japan,7.66,18.0,1.0,"1,446951894"
2012,JOR,Jordan,7.56,24.0,1.0,"2,651594344"
2012,KAZ,Kazakhstan,7.14,62.0,2.0,5
2012,KEN,Kenya,7.09,65.0,2.0,"4,552553683"
2012,KOR,"Korea, South",7.45,35.0,1.0,"2,292382426"
2012,KWT,Kuwait,6.93,75.0,2.0,"6,186173233"
2012,KGZ,Kyrgyz Republic,6.67,92.0,3.0,"-0,088832129"
2012,LAO,Laos,,,,"8,197311778"
2012,LVA,Latvia,7.56,24.0,1.0,5
2012,LBN,Lebanon,6.96,73.0,2.0,"2,2"
2012,LSO,Lesotho,6.19,120.0,4.0,"6,511439037"
2012,LBR,Liberia,,,,"10,23864203"
2012,LBY,Libya,,,,"104,4844633"
2012,LTU,Lithuania,7.52,29.0,1.0,"3,7"
2012,LUX,Luxembourg,7.46,34.0,1.0,"-0,175722682"
2012,MKD,Macedonia,7.23,57.0,2.0,"-0,4"
2012,MDG,Madagascar,6.48,104.0,3.0,"2,360111126"
2012,MWI,Malawi,6.18,121.0,4.0,"1,885799508"
2012,MYS,Malaysia,6.85,81.0,3.0,"5,639831813"
2012,MLI,Mali,5.99,129.0,4.0,"-0,408303574"
2012,MLT,Malta,7.63,20.0,1.0,"1,1"
2012,MRT,Mauritania,5.68,135.0,4.0,7
2012,MUS,Mauritius,8.15,5.0,1.0,"3,227784969"
2012,MEX,Mexico,6.71,90.0,3.0,"3,98308933"
2012,MDA,Moldova,6.64,96.0,3.0,"-0,7"
2012,MNG,Mongolia,7.02,70.0,2.0,"12,4011007"
2012,MNE,Montenegro,7.25,55.0,2.0,"-2,5"
2012,MAR,Morocco,6.34,112.0,3.0,"2,694664217"
2012,MOZ,Mozambique,5.93,131.0,4.0,"7,241569536"
2012,MMR,Myanmar,5.0,147.0,4.0,
2012,NAM,Namibia,6.79,85.0,3.0,"6,690716387"
2012,NPL,Nepal,6.12,125.0,4.0,"4,85247634"
2012,NLD,Netherlands,7.54,27.0,1.0,"-1,247175144"
2012,NZL,New Zealand,8.47,3.0,1.0,"2,52990153"
2012,NIC,Nicaragua,7.36,40.0,2.0,"3,354740457"
2012,NER,Niger,5.55,138.0,4.0,"10,82755034"
2012,NGA,Nigeria,6.22,119.0,4.0,"4,279277314"
2012,NOR,Norway,7.58,22.0,1.0,"2,896294367"
2012,OMN,Oman,7.04,68.0,2.0,"4,986"
2012,PAK,Pakistan,6.15,123.0,4.0,"4,015907671"
2012,PAN,Panama,7.34,44.0,2.0,"10,24710466"
