year,iso_code,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,LTU,9.637771326000001,7.356431939,7.684472026,8.226225097
2013,LUX,9.333333332999999,5.893280776,8.030146752,7.752253621
2013,MKD,9.413974455,7.559655483999999,8.10138292,8.35833762
2013,MDG,8.065862869,4.937191933,6.0413631389999995,6.348139314
2013,MWI,7.015982277000001,7.14998997,5.894577505,6.686849917000001
2013,MYS,9.487349905,8.04346172,8.501752731,8.677521452
2013,MLI,9.171995175,5.280736323,5.516883831,6.656538443
2013,MLT,9.330418084,7.484462088,6.554418866000001,7.789766346
2013,MRT,8.626845727000001,5.874676397999999,4.212897113,6.238139746
2013,MUS,9.171626984,7.6019546810000005,7.546380677999999,8.106654114
2013,MEX,9.370915033,5.813923567000001,6.63492022,7.27325294
2013,MDA,9.700983651,5.54070932,6.146971488999999,7.12955482
