year,iso_code,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government
2012,NER,7.0,6.0,5.0,6.9598092639999996
2012,NGA,8.147058824,2.0,7.0,6.715082682
2012,NOR,1.617647059,8.0,5.5,5.062903961
2012,OMN,0.0,0.0,10.0,4.612665422
2012,PAK,8.441176471,6.0,10.0,8.418866215
2012,PAN,7.441176471,7.0,6.5,7.374258695
2012,PNG,6.221175295,8.0,6.0,7.334312897
2012,PRY,7.529411765,8.0,8.5,8.314095179
2012,PER,7.735294118,7.0,6.0,7.593686345
2012,PHL,8.117647059,10.0,7.0,8.593444462
2012,POL,5.117647058999999,7.0,5.5,5.793037765
2012,PRT,5.382352941000001,8.0,3.5,5.16938812
2012,QAT,0.0,,10.0,6.537882662
2012,ROU,6.144117647000001,8.0,7.0,6.898771238999999
2012,RUS,4.155882353,10.0,7.0,6.624407086000001
2012,RWA,7.379411765,0.0,6.5,5.516091525
2012,SAU,0.0,,10.0,5.0
2012,SEN,6.323529412,6.0,0.0,5.580882353
2012,SRB,5.764705882,8.0,7.5,6.238501089
2012,SYC,1.8235294119999998,,,
2012,SLE,8.801520607999999,4.0,6.5,7.325380152
2012,SGP,5.941176471,8.0,10.0,8.173590329
2012,SVK,4.892798241,10.0,6.5,6.423913589
2012,SVN,4.0264705880000005,8.0,2.5,4.639451029
2012,ZAF,4.470588235,8.0,5.5,6.544009711
2012,ESP,4.294117647,10.0,4.0,5.679695945
2012,LKA,8.685294118,7.0,8.5,8.36827178
2012,SDN,,,,
2012,SUR,0.0,10.0,5.0,5.89619573
2012,SWZ,6.267647059,4.0,7.0,6.785759024
2012,SWE,1.2647058820000001,7.0,1.0,3.4015589019999997
2012,CHE,6.417647059,10.0,7.0,7.360948939
2012,SYR,6.106476827000001,2.0,7.0,6.0183767
2012,TJK,9.588235294,0.0,8.5,6.787930758
2012,TZA,5.441176471,7.0,5.5,6.985294118
2012,THA,4.791176471,7.0,7.0,7.057232957
2012,TLS,0.0,8.0,10.0,6.201659112000001
2012,TGO,7.529411765,4.0,4.0,6.382352941000001
2012,TTO,6.614705882000001,0.0,7.0,5.508426047
2012,TUN,5.441176471,8.0,5.5,6.272377412999999
2012,TUR,6.3,8.0,7.0,6.876376781
2012,UGA,9.176470587999999,10.0,6.0,8.770664267
2012,UKR,5.238235294,10.0,7.0,6.664177766
2012,ARE,7.223529412,2.0,10.0,7.051108673
2012,GBR,4.767647059,8.0,3.0,5.351363457
2012,USA,6.294117647,8.0,7.5,6.956840151000001
2012,URY,6.9117647060000005,8.0,8.5,7.3720147460000005
2012,VEN,6.735294118,0.0,7.0,4.87728402
2012,VNM,9.294117647,,6.0,7.647058824
2012,YEM,7.632352941000001,2.0,9.0,6.913187225
2012,ZMB,6.35,4.0,9.0,7.3375
2012,ZWE,5.711764706,8.0,5.0,7.177941176
2011,ALB,8.147058824,7.0,8.5,7.720415932000001
2011,DZA,0.029411765,0.0,7.0,3.711635195
2011,AGO,2.755882353,0.0,9.5,4.964480234
2011,ARG,5.958823529,6.0,4.0,5.429127197000001
2011,ARM,7.829411765,10.0,9.0,8.728674467000001
2011,AUS,4.441176471,10.0,5.5,6.699871774
2011,AUT,4.205882353,10.0,3.5,5.263601599999999
2011,AZE,5.470588235,0.0,6.0,4.962554618
2011,BHS,6.617647058999999,7.0,10.0,8.153730566
2011,BHR,4.058823529,4.0,10.0,6.840182722000001
2011,BGD,9.647058824,8.0,9.0,9.066396858
2011,BLR,,,,
2011,BEL,2.470588235,10.0,1.0,3.926230165
2011,BLZ,6.441176471,6.0,9.0,7.537984974
2011,BEN,6.329411765,2.0,7.0,6.206331143
2011,BTN,2.176470588,,,
2011,BOL,6.352941176,0.0,10.0,6.29736336
2011,BIH,5.526099822000001,4.0,6.5,5.285816509
2011,BWA,2.764705882,6.0,9.0,6.232184645
2011,BRA,4.802941176,7.0,8.0,6.753088647
2011,BRN,0.0,,10.0,5.0
2011,BGR,5.764705882,10.0,7.5,7.14178955
2011,BFA,4.2352941180000006,2.0,4.0,5.04588075
2011,BDI,4.7352941180000006,0.0,1.0,3.8065938989999997
2011,KHM,9.773529412,2.0,10.0,7.878668456000001
2011,CMR,7.361764706000001,7.0,4.5,7.107216215
2011,CAN,3.764705882,8.0,6.0,6.203438051
2011,CPV,5.117647058999999,6.0,5.0,6.346389177000001
2011,CAF,9.411764706,0.0,5.0,5.986524283
2011,TCD,8.679411765,4.0,1.0,5.899416974
2011,CHL,6.941176471,10.0,7.0,7.996193300000001
2011,CHN,3.894117647,2.0,6.0,5.0470988939999994
2011,COL,5.705882353,10.0,4.5,7.20031255
2011,COD,7.297058824,4.0,2.5,5.661866886
2011,COG,5.2647058819999994,0.0,3.5,4.639173383999999
2011,CRI,5.382352941000001,10.0,6.5,7.827877064
2011,CIV,7.567647059,6.0,2.5,6.4366665329999995
2011,HRV,4.352941176,8.0,2.0,4.781355185
2011,CYP,4.976173286,10.0,7.0,6.999492912999999
2011,CZE,3.2058823530000002,8.0,7.0,5.253105466
2011,DNK,1.2647058820000001,8.0,2.5,4.034841321
2011,DOM,8.558823529,6.0,8.0,7.997537301
2011,ECU,6.647058824,2.0,5.5,5.934584869
2011,EGY,7.764705882,4.0,7.5,6.522602843
2011,SLV,8.647058824,8.0,8.0,8.408358711
2011,EST,3.6349031519999997,8.0,6.5,6.093270331
2011,ETH,8.088235294,0.0,7.0,5.935001603
2011,FJI,5.764705882,8.0,7.0,7.423331152
2011,FIN,2.823529412,8.0,3.5,4.521618048000001
2011,FRA,3.0,8.0,4.0,4.438010899
2011,GAB,2.4441176469999997,4.0,3.5,4.938345488
2011,GMB,8.382352941,0.0,7.0,6.240465747999999
2011,GEO,5.9117647060000005,4.0,10.0,6.763982292000001
2011,DEU,4.382352941000001,10.0,5.0,5.486786467000001
2011,GHA,5.5,7.0,7.0,7.284400545
2011,GRC,4.9117647060000005,8.0,5.0,5.402328097000001
2011,GTM,8.588235294,8.0,5.5,7.996173265
2011,GIN,8.676470587999999,,,
2011,GNB,7.855882352999999,2.0,10.0,6.618627451
2011,GUY,7.076470587999999,2.0,5.5,4.8588235289999995
2011,HTI,9.870588235,2.0,8.0,7.446870492
2011,HND,6.617647058999999,10.0,8.5,8.779411765
2011,HKG,8.205882353,8.0,10.0,8.930817753
2011,HUN,3.438460239,8.0,6.5,5.64081397
2011,ISL,2.147058824,8.0,3.5,5.22770476
2011,IND,7.0,7.0,7.0,7.532001011
2011,IDN,7.617647058999999,7.0,7.5,7.786700593
2011,IRN,6.320588235,6.0,7.0,6.827422263
2011,IRQ,,,,
2011,IRL,3.529411765,8.0,4.0,5.2086472189999995
2011,ISR,3.529411765,10.0,4.5,6.3682208870000006
2011,ITA,4.676470588,10.0,3.0,5.301815195
2011,JAM,7.147058824,7.0,7.0,7.702500401
2011,JPN,4.2647058819999994,8.0,5.0,5.262225517
2011,JOR,5.973529412,8.0,9.0,7.597060827000001
2011,KAZ,6.352941176,7.0,9.0,7.814461452000001
2011,KEN,7.323529412,6.0,8.0,7.762353742999999
2011,KOR,5.0,8.0,6.0,6.838079018999999
2011,KWT,0.529411765,7.0,10.0,6.328703428
2011,KGZ,6.5,7.0,8.5,7.670504087
2011,LAO,,,,
2011,LVA,5.035294118,7.0,6.0,5.744858952
2011,LBN,8.132352941,10.0,10.0,9.127366164
2011,LSO,4.085294118,0.0,7.0,4.999547767
2011,LBR,,,,
2011,LBY,0.0,,,
2011,LTU,5.029411765,10.0,7.0,6.967639045
2011,LUX,1.617647059,7.0,3.5,3.9382673510000004
2011,MKD,5.973529412,6.0,8.5,6.331058339
2011,MDG,8.744281588,7.0,8.0,8.436070397
2011,MWI,7.605882352999999,2.0,8.0,6.80710696
2011,MYS,5.441176471,2.0,8.0,6.009136079
2011,MLI,5.379411765,4.0,5.0,6.077389084
2011,MLT,4.2352941180000006,6.0,7.0,5.82701154
2011,MRT,3.2970588239999996,8.0,5.0,5.432352941
2011,MUS,7.205882353,7.0,9.0,7.920135437999999
2011,MEX,7.176470588,7.0,6.0,6.666733451
2011,MDA,6.5882352939999995,7.0,7.0,6.716609232000001
2011,MNG,6.1088235289999995,10.0,9.0,7.881974275
2011,MNE,5.647058824,6.0,7.5,6.382352941000001
2011,MAR,5.970588235,8.0,5.0,6.561448148999999
2011,MOZ,5.764705882,4.0,6.0,6.216311975
2011,MMR,6.1617647060000005,7.0,5.0,6.053921569
2011,NAM,4.176470588,8.0,6.0,6.757339728
2011,NPL,8.617647059,7.0,5.0,7.557817759
2011,NLD,0.5,8.0,3.0,3.6399863760000004
2011,NZL,4.352941176,8.0,7.0,6.28963274
2011,NIC,9.35,7.0,8.0,8.578303815
2011,NER,6.970588235,10.0,7.0,8.452456323
2011,NGA,8.382352941,2.0,7.0,6.762265498
2011,NOR,1.705882353,8.0,5.5,5.073268953
2011,OMN,0.305882353,0.0,10.0,4.630012823
2011,PAK,8.617647059,6.0,10.0,8.500120212
2011,PAN,7.058823529,4.0,6.5,6.52867046
2011,PNG,7.852941176,8.0,5.0,7.492254367999999
2011,PRY,8.058823529,6.0,8.5,7.944882993999999
2011,PER,7.676470588,7.0,6.0,7.558899662999999
2011,PHL,8.382352941,10.0,7.0,8.620792595
2011,POL,5.072739978,6.0,5.5,5.464370281
2011,PRT,4.941176471,8.0,3.5,5.084885398
2011,QAT,0.0,,10.0,6.453133515
2011,ROU,6.158823529,7.0,6.5,6.486231768
2011,RUS,4.029411765,10.0,7.5,6.777584549
2011,RWA,7.4117647060000005,2.0,6.5,6.123622545
2011,SAU,0.117647059,,10.0,5.058823529
2011,SEN,6.647058824,6.0,0.0,5.6617647060000005
2011,SRB,5.941176471,8.0,7.5,6.376506652000001
2011,SYC,2.352941176,,,
2011,SLE,8.647058824,4.0,8.0,7.644598492999999
2011,SGP,5.647058824,8.0,10.0,8.411764706
2011,SVK,4.7352941180000006,10.0,6.5,6.430417535
2011,SVN,3.9411764710000003,8.0,2.5,4.493809103999999
2011,ZAF,4.352941176,10.0,5.5,7.070932842
2011,ESP,4.0,8.0,6.0,5.651634877
2011,LKA,8.611764706,7.0,8.5,8.336047444
2011,SDN,,,,
2011,SUR,0.9176470590000001,8.0,5.0,5.668308222
2011,SWZ,6.026470588,4.0,7.0,6.719130433999999
2011,SWE,1.294117647,8.0,1.0,3.748188812
2011,CHE,6.4647058820000005,10.0,7.0,7.365972306000001
2011,SYR,6.0533338379999995,2.0,7.0,6.005090953
2011,TJK,8.108823529,0.0,8.5,6.418077817
2011,TZA,5.941176471,7.0,5.5,7.103686487999999
2011,THA,4.888235293999999,7.0,7.0,7.020287706
2011,TLS,0.0,10.0,10.0,7.000354516
2011,TGO,8.794117647,2.0,4.0,6.198529412
2011,TTO,6.347058823999999,0.0,7.0,5.446249422
2011,TUN,5.470588235,8.0,5.5,6.402115724
2011,TUR,6.520588235,8.0,7.0,6.961686567999999
2011,UGA,7.9117647060000005,10.0,6.0,8.437682321
2011,UKR,5.4117647060000005,10.0,7.0,6.82569322
2011,ARE,7.494117647,2.0,10.0,7.178093444
2011,GBR,4.679411765,8.0,3.0,5.352618608999999
2011,USA,6.029411765,7.0,7.5,6.575949671
2011,URY,7.058823529,8.0,8.0,7.344406155
2011,VEN,6.676470588,0.0,6.0,4.612578138
2011,VNM,9.058823529,,5.0,7.029411765
2011,YEM,7.879411765,4.0,9.0,7.272986456
2011,ZMB,7.2,7.0,8.0,8.05
2011,ZWE,5.508823529,7.0,5.0,6.8765246829999995
2010,ALB,8.088235294,7.0,8.5,7.743789069
2010,DZA,1.941176471,0.0,,3.37715059
2010,AGO,3.911764706,0.0,9.5,5.343626641
2010,ARG,6.135294117999999,6.0,5.0,5.813584262999999
2010,ARM,7.720588235,8.0,9.0,8.19172744
2010,AUS,4.3588235289999995,10.0,5.5,6.665659561
2010,AUT,4.070588235,10.0,3.5,4.89816477
2010,AZE,4.117647058999999,0.0,5.0,4.344933908
2010,BHS,6.558823529,7.0,10.0,8.132348934
2010,BHR,4.7352941180000006,4.0,10.0,7.043632794
2010,BGD,9.794117647,8.0,9.0,9.089537586
2010,BLR,,,,
2010,BEL,2.532352941,10.0,1.0,3.9900364639999997
2010,BLZ,6.205882353,6.0,,6.98427184
2010,BEN,6.273529412,2.0,7.0,6.227646657999999
2010,BTN,2.9411764710000003,,,
2010,BOL,6.420588235,0.0,10.0,6.314275124
2010,BIH,5.6411764710000005,4.0,6.5,5.534408559
2010,BWA,2.029411765,4.0,9.0,5.548361116000001
2010,BRA,4.705882353,8.0,8.0,6.99165603
2010,BRN,0.0,,10.0,5.0
2010,BGR,5.726470588,7.0,7.5,6.458184405
2010,BFA,4.5,0.0,,4.81880109
2010,BDI,3.5,0.0,,4.408617865
2010,KHM,9.635294118,2.0,10.0,7.882188652000001
2010,CMR,7.658823529,8.0,4.5,7.431480921
2010,CAN,3.729411765,7.0,6.0,5.917775285
2010,CPV,3.323529412,4.0,5.0,5.415419138
2010,CAF,9.323529412000001,2.0,5.0,6.493620773
