year,iso_code,country,economic_freedom,rank,quartile,gdp_growth,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,BRN,Brunei Darussalam,6.75,89.0,3.0,"-1,751960547",0.0,,10.0,5.0,4.778709672,4.008970466,5.997354014,8.333333332999999,8.333333332999999,4.1711035260000004,4.802773258,5.550550996,4.003645122,0.794871795,4.98373812,8.803680906,3.993678198,9.923347383,10.0,8.180176622000001,8.66,6.244625922000001,10.0,5.353497691,7.564530903,9.494625591,8.150586464,6.366739971,8.003984009
2013,BGR,Bulgaria,7.33,48.0,2.0,"0,898654169",5.617647058999999,8.0,8.5,6.98536096,2.215120052,2.6974481339999996,4.113326397,8.333333332999999,4.166666667,4.767973315,8.857745037,3.7756284260000004,5.431349518999999,0.8918918920000001,4.662314357,8.764495184,9.125396219,9.821981292,10.0,9.427968174,8.252,6.391565958999999,10.0,6.471841388,7.778851837,9.731561115,7.392697296000001,6.297472915,7.807243775
2013,BFA,Burkina Faso,5.96,131.0,4.0,"6,529291389",4.2647058819999994,0.0,6.0,5.066176471,1.853980189,3.594626659,4.163926422,4.166666667,5.0,2.139195153,4.690602869,5.077216989,4.677293378,0.8918918920000001,3.71688526,8.997897282,9.078481661,9.892473118,0.0,6.992213015,7.3133777779999996,4.576866148,10.0,4.510638729,6.600220664,9.342313616,7.341669476,5.605428307,7.4298038
2013,BDI,Burundi,5.96,131.0,4.0,"4,470824619",5.147058824,2.0,6.5,5.9117647060000005,1.045913446,3.186270965,2.9343241769999997,2.9,,2.65461566,8.513441578,1.930255991,4.153009218,0.897435897,3.2396145780000003,8.821390531,9.529189137000001,8.409865134,5.0,7.940111201000001,6.897955556,4.4494987230000005,10.0,4.711972736,6.514856754,5.0,7.741478592000001,5.8555193139999995,6.198999302000001
2013,KHM,Cambodia,7.17,63.0,2.0,"7,459669528",9.805882353,2.0,10.0,7.872060236,2.115391652,3.126299356,3.9129234139999998,5.9,,1.824541681,7.495313256,3.244600283,5.204018134,1.0,4.102885972,8.897667229,9.686109367,9.411479968,10.0,9.498814141,7.660755556,6.13630326,10.0,7.732901416,7.882490057999999,8.006711409,6.750227332000001,4.661074366,6.472671036
2013,CMR,Cameroon,5.95,133.0,4.0,"5,5",7.314705882,7.0,4.5,7.09545151,3.048734183,4.0452256360000005,4.393358818,5.0,3.333333333,2.168525641,3.3746655760000004,5.481522699,5.661086132,0.615384615,3.2762200530000003,9.356718766,8.894717571000001,9.610970945,0.0,6.965601821,5.474666667,5.791270143999999,10.0,2.7019823819999997,5.991979797999999,7.145061728,7.2898234760000005,4.793967272,6.409617492000001
2013,CAN,Canada,8.03,7.0,1.0,"2,022016672",3.529411765,8.0,6.0,6.260228732000001,8.587813503,6.916324897000001,8.315060481,10.0,9.166666667000001,4.813896634,8.603415498,8.545693274,6.9806387679999995,1.0,7.992167747000001,8.929730011,9.146355499,9.81234162,10.0,9.472106783,7.010222222,7.185177945,10.0,6.42022967,7.653907459,10.0,8.351451629,7.8972774999999995,8.749576376
2013,CPV,Cape Verde,6.62,98.0,3.0,"0,499402175",4.80806268,0.0,5.0,4.792010887,5.253687983,4.191367542,4.627295588,8.5,,6.058581632999999,8.367985197000001,5.712293417000001,4.6825494569999995,1.0,5.9242201020000005,9.872181019,9.401377805,9.697569247999999,5.0,8.492782018,6.687377777999999,6.2029159620000005,10.0,6.339064475,7.3073395539999995,8.892470942000001,4.310519288,6.617644202999999,6.6068781439999995
2013,CAF,Central Afr. Rep.,5.71,139.0,4.0,"-35,99996656",8.844117647000001,8.0,7.0,8.356053372,5.202476376,2.3,4.791649262,0.6,,0.508171469,4.933862454,5.589909046,4.823375071,0.692307692,3.040806543,8.401000717999999,8.917782325,8.6896,0.0,6.5020957610000005,4.490222222,3.332122765,10.0,3.170238074,5.248145765,7.861666667000001,3.7066548999999998,4.569254396,5.379191988
2013,TCD,Chad,4.99,152.0,4.0,"3,599991079",8.911764706,4.0,1.0,5.957505209,1.9739853230000002,2.0460600330000003,2.516518955,3.4,,2.223210769,4.1720227439999995,2.7484604160000004,3.365790833,0.7105263159999999,2.399659852,8.157363292000001,6.4757288289999995,9.97090979,0.0,6.151000477999999,6.292000000000001,1.807742811,10.0,2.22103237,5.080193795,6.559748428,5.944582369,3.5739507980000003,5.359427198000001
